evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42151830,literature,PubMed,42151830,https://pubmed.ncbi.nlm.nih.gov/42151830/,10.1186/s12876-026-04934-y,42151830,Short-term synbiotic supplementation and intrahepatic triglyceride content assessed by proton MR spectroscopy: a pilot study.,2026,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41814326,literature,PubMed,41814326,https://pubmed.ncbi.nlm.nih.gov/41814326/,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutrition & metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41727680,literature,PubMed,41727680,https://pubmed.ncbi.nlm.nih.gov/41727680/,10.3389/fendo.2026.1734041,41727680,BMI-stratified phenotypes of polycystic ovary syndrome: advances in gut microbiota research and personalized management strategies.,2026,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41512635,literature,PubMed,41512635,https://pubmed.ncbi.nlm.nih.gov/41512635/,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41475319,literature,PubMed,41475319,https://pubmed.ncbi.nlm.nih.gov/41475319/,10.1016/j.nut.2025.113033,41475319,Comparing body composition techniques against an adapted multicompartment model in individuals with excess body weight.,2026,"Nutrition (Burbank, Los Angeles County, Calif.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41444876,literature,PubMed,41444876,https://pubmed.ncbi.nlm.nih.gov/41444876/,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC pediatrics,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41133047,literature,PubMed,41133047,https://pubmed.ncbi.nlm.nih.gov/41133047/,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40987620,literature,PubMed,40987620,https://pubmed.ncbi.nlm.nih.gov/40987620/,10.1016/j.orcp.2025.08.010,40987620,Can pre-/pro and synbiotics affect cardiovascular risk factors in children and adolescence with overweight and obesity? A grade-assessed systematic review and meta-analysis of randomized controlled trials.,2025,Obesity research & clinical practice,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40725626,literature,PubMed,40725626,https://pubmed.ncbi.nlm.nih.gov/40725626/,10.3390/jcm14144933,40725626,The Role of Gut Microbiota in the Development and Treatment of Obesity and Overweight: A Literature Review.,2025,Journal of clinical medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40647296,literature,PubMed,40647296,https://pubmed.ncbi.nlm.nih.gov/40647296/,10.3390/nu17132193,40647296,Impact of Probiotic/Synbiotic Supplementation on Post-Bariatric Surgery Anthropometric and Cardiometabolic Outcomes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40637175,literature,PubMed,40637175,https://pubmed.ncbi.nlm.nih.gov/40637175/,10.1002/14651858.CD015875,40637175,Gut microbiome-based interventions for the management of obesity in children and adolescents aged up to 19 years.,2025,The Cochrane database of systematic reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40192559,literature,PubMed,40192559,https://pubmed.ncbi.nlm.nih.gov/40192559/,10.1089/jmf.2023.0233,40192559,The Effect of Prebiotics and Probiotics (Synbiotics) on Weight Loss and Biochemical Parameters in Obese Individuals.,2025,Journal of medicinal food,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39340527,literature,PubMed,39340527,https://pubmed.ncbi.nlm.nih.gov/39340527/,10.1080/10408398.2024.2409956,39340527,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis.",2025,Critical reviews in food science and nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39298907,literature,PubMed,39298907,https://pubmed.ncbi.nlm.nih.gov/39298907/,10.1016/j.dsx.2024.103118,39298907,"The effect of microbiome-modulating therapeutics on glucose homeostasis in metabolic syndrome: A systematic review, meta-analysis, and meta-regression of clinical trials.",2024,Diabetes & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:37836532,literature,PubMed,37836532,https://pubmed.ncbi.nlm.nih.gov/37836532/,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
