evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:41921070,literature,PubMed,41921070,https://europepmc.org/article/MED/41921070,10.1093/lambio/ovag041,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,2026,Lett Appl Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:41938967,literature,PubMed,41938967,https://europepmc.org/article/MED/41938967,10.3389/fpubh.2026.1767108,41938967,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,2026,Front Public Health,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42116047,literature,PubMed,42116047,https://europepmc.org/article/MED/42116047,10.1186/s12986-026-01124-1,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42212103,literature,PubMed,42212103,https://europepmc.org/article/MED/42212103,10.3389/fped.2026.1773294,42212103,Gut microbiota and pediatric metabolic dysfunction-associated steatotic liver disease: clinical evidence and therapeutic implications.,2026,Front Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42197000,literature,PubMed,42197000,https://europepmc.org/article/MED/42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42074987,literature,PubMed,42074987,https://europepmc.org/article/MED/42074987,10.3390/nu18081174,42074987,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of <i>Limosilactobacillus fermentum</i> K8-Lb1 Postbiotic on Weight Management and Metabolic Health Outcomes.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42193472,literature,PubMed,42193472,https://europepmc.org/article/MED/42193472,10.3390/biomedicines14051147,42193472,Metabolic Dysfunction-Associated Steatotic Liver Disease: An Update Narrative Review of the Therapeutic Potential of Combining Probiotics and Metformin.,2026,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:41901543,literature,PubMed,41901543,https://europepmc.org/article/MED/41901543,10.3390/medicina62030458,41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.",2026,Medicina (Kaunas),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42057790,literature,PubMed,42057790,https://europepmc.org/article/MED/42057790,10.3389/fmicb.2026.1782016,42057790,The impact of antibiotic exposure on obesity and metabolic phenotypes via the gut microbiota.,2026,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
